-3.0000	1.9700
-2.9000	1.8158
-2.8000	1.6382
-2.7000	1.4410
-2.6000	1.2279
-2.5000	1.0029
-2.4000	0.7697
-2.3000	0.5324
-2.2000	0.2947
-2.1000	0.0602
-2.0000	-0.1677
-1.9000	-0.3857
-1.8000	-0.5910
-1.7000	-0.7810
-1.6000	-0.9533
-1.5000	-1.1061
-1.4000	-1.2380
-1.3000	-1.3477
-1.2000	-1.4348
-1.1000	-1.4990
-1.0000	-1.5403
-0.9000	-1.5594
-0.8000	-1.5574
-0.7000	-1.5354
-0.6000	-1.4952
-0.5000	-1.4388
-0.4000	-1.3684
-0.3000	-1.2866
-0.2000	-1.1960
-0.1000	-1.0995
0.0000	-1.0000
0.1000	-0.9005
0.2000	-0.8040
0.3000	-0.7134
0.4000	-0.6316
0.5000	-0.5612
0.6000	-0.5048
0.7000	-0.4646
0.8000	-0.4426
0.9000	-0.4406
1.0000	-0.4597
1.1000	-0.5010
1.2000	-0.5652
1.3000	-0.6523
1.4000	-0.7620
1.5000	-0.8939
1.6000	-1.0467
1.7000	-1.2190
1.8000	-1.4090
1.9000	-1.6143
2.0000	-1.8323
2.1000	-2.0602
2.2000	-2.2947
2.3000	-2.5324
2.4000	-2.7697
2.5000	-3.0029
2.6000	-3.2279
2.7000	-3.4410
2.8000	-3.6382
2.9000	-3.8158
3.0000	-3.9700
3.1000	-4.0973
3.2000	-4.1945
3.3000	-4.2587
3.4000	-4.2871
3.5000	-4.2776
3.6000	-4.2283
3.7000	-4.1380
3.8000	-4.0057
3.9000	-3.8311
4.0000	-3.6146
4.1000	-3.3568
4.2000	-3.0591
4.3000	-2.7234
4.4000	-2.3523
4.5000	-1.9486
4.6000	-1.5159
4.7000	-1.0582
4.8000	-0.5800
4.9000	-0.0861
5.0000	0.4183
5.1000	0.9277
5.2000	1.4363
5.3000	1.9382
5.4000	2.4273
5.5000	2.8977
5.6000	3.3432
5.7000	3.7579
5.8000	4.1360
5.9000	4.4721
6.0000	4.7610
